Process A [NEW] (arrival time 102 ms) 85 CPU bursts
0.[A1]CPUBurst: 1031ms
127.[A64]IOBurst: 2610ms
128.[A65]CPUBurst: 850ms
129.[A65]IOBurst: 6340ms
130.[A66]CPUBurst: 509ms
131.[A66]IOBurst: 33520ms
132.[A67]CPUBurst: 375ms
133.[A67]IOBurst: 2890ms
134.[A68]CPUBurst: 167ms
135.[A68]IOBurst: 10060ms
136.[A69]CPUBurst: 830ms
137.[A69]IOBurst: 5960ms
138.[A70]CPUBurst: 721ms
139.[A70]IOBurst: 2180ms
140.[A71]CPUBurst: 713ms
141.[A71]IOBurst: 16120ms
142.[A72]CPUBurst: 143ms
143.[A72]IOBurst: 13940ms
144.[A73]CPUBurst: 119ms
145.[A73]IOBurst: 10890ms
146.[A74]CPUBurst: 2824ms
147.[A74]IOBurst: 20420ms
148.[A75]CPUBurst: 186ms
149.[A75]IOBurst: 13800ms
150.[A76]CPUBurst: 2001ms
151.[A76]IOBurst: 560ms
152.[A77]CPUBurst: 725ms
153.[A77]IOBurst: 3580ms
154.[A78]CPUBurst: 391ms
155.[A78]IOBurst: 4970ms
156.[A79]CPUBurst: 90ms
157.[A79]IOBurst: 4290ms
158.[A80]CPUBurst: 156ms
159.[A80]IOBurst: 5300ms
160.[A81]CPUBurst: 357ms
161.[A81]IOBurst: 20050ms
162.[A82]CPUBurst: 458ms
163.[A82]IOBurst: 250ms
164.[A83]CPUBurst: 2472ms
165.[A83]IOBurst: 11450ms
166.[A84]CPUBurst: 1703ms
167.[A84]IOBurst: 5070ms
168.[A85]CPUBurst: 338ms

Process B [NEW] (arrival time 365 ms) 6 CPU bursts
0.[B1]CPUBurst: 848ms
1.[B1]IOBurst: 9460ms
2.[B2]CPUBurst: 859ms
3.[B2]IOBurst: 6720ms
4.[B3]CPUBurst: 2199ms
5.[B3]IOBurst: 3870ms
6.[B4]CPUBurst: 21ms
7.[B4]IOBurst: 1870ms
8.[B5]CPUBurst: 909ms
9.[B5]IOBurst: 23870ms
10.[B6]CPUBurst: 70ms

Process C [NEW] (arrival time 246 ms) 95 CPU bursts
0.[C1]CPUBurst: 3274ms
1.[C1]IOBurst: 900ms
2.[C2]CPUBurst: 633ms
3.[C2]IOBurst: 440ms
4.[C3]CPUBurst: 512ms
5.[C3]IOBurst: 15920ms
6.[C4]CPUBurst: 102ms
7.[C4]IOBurst: 1390ms
8.[C5]CPUBurst: 346ms
9.[C5]IOBurst: 10270ms
10.[C6]CPUBurst: 81ms
11.[C6]IOBurst: 12460ms
12.[C7]CPUBurst: 1562ms
13.[C7]IOBurst: 4890ms
14.[C8]CPUBurst: 280ms
15.[C8]IOBurst: 100ms
16.[C9]CPUBurst: 348ms
17.[C9]IOBurst: 9560ms
18.[C10]CPUBurst: 849ms
19.[C10]IOBurst: 130ms
20.[C11]CPUBurst: 238ms
21.[C11]IOBurst: 3350ms
22.[C12]CPUBurst: 1698ms
23.[C12]IOBurst: 7970ms
24.[C13]CPUBurst: 1563ms
25.[C13]IOBurst: 3380ms
26.[C14]CPUBurst: 1428ms
27.[C14]IOBurst: 16850ms
28.[C15]CPUBurst: 1761ms
29.[C15]IOBurst: 7770ms
30.[C16]CPUBurst: 1852ms
31.[C16]IOBurst: 4050ms
32.[C17]CPUBurst: 230ms
33.[C17]IOBurst: 7830ms
34.[C18]CPUBurst: 768ms
35.[C18]IOBurst: 1930ms
36.[C19]CPUBurst: 106ms
37.[C19]IOBurst: 5690ms
38.[C20]CPUBurst: 1544ms
39.[C20]IOBurst: 15190ms
40.[C21]CPUBurst: 147ms
41.[C21]IOBurst: 1190ms
42.[C22]CPUBurst: 2148ms
43.[C22]IOBurst: 15420ms
44.[C23]CPUBurst: 1935ms
45.[C23]IOBurst: 1370ms
46.[C24]CPUBurst: 142ms
47.[C24]IOBurst: 14100ms
48.[C25]CPUBurst: 2295ms
49.[C25]IOBurst: 7670ms
50.[C26]CPUBurst: 43ms
51.[C26]IOBurst: 16990ms
52.[C27]CPUBurst: 1236ms
53.[C27]IOBurst: 12070ms
54.[C28]CPUBurst: 41ms
55.[C28]IOBurst: 12930ms
56.[C29]CPUBurst: 626ms
57.[C29]IOBurst: 10370ms
58.[C30]CPUBurst: 378ms
59.[C30]IOBurst: 2610ms
60.[C31]CPUBurst: 528ms
61.[C31]IOBurst: 12500ms
62.[C32]CPUBurst: 3578ms
63.[C32]IOBurst: 2000ms
64.[C33]CPUBurst: 551ms
65.[C33]IOBurst: 38730ms
66.[C34]CPUBurst: 34ms
67.[C34]IOBurst: 760ms
68.[C35]CPUBurst: 2618ms
69.[C35]IOBurst: 8470ms
70.[C36]CPUBurst: 805ms
71.[C36]IOBurst: 10520ms
72.[C37]CPUBurst: 648ms
73.[C37]IOBurst: 1040ms
74.[C38]CPUBurst: 837ms
75.[C38]IOBurst: 5750ms
76.[C39]CPUBurst: 115ms
77.[C39]IOBurst: 1780ms
78.[C40]CPUBurst: 352ms
79.[C40]IOBurst: 920ms
80.[C41]CPUBurst: 2564ms
81.[C41]IOBurst: 420ms
82.[C42]CPUBurst: 1370ms
83.[C42]IOBurst: 650ms
84.[C43]CPUBurst: 204ms
85.[C43]IOBurst: 4310ms
86.[C44]CPUBurst: 190ms
87.[C44]IOBurst: 5010ms
88.[C45]CPUBurst: 306ms
89.[C45]IOBurst: 14690ms
90.[C46]CPUBurst: 7ms
91.[C46]IOBurst: 600ms
92.[C47]CPUBurst: 37ms
93.[C47]IOBurst: 16460ms
94.[C48]CPUBurst: 311ms
95.[C48]IOBurst: 6450ms
96.[C49]CPUBurst: 601ms
97.[C49]IOBurst: 6350ms
98.[C50]CPUBurst: 3837ms
99.[C50]IOBurst: 11800ms
100.[C51]CPUBurst: 25ms
101.[C51]IOBurst: 6260ms
102.[C52]CPUBurst: 104ms
103.[C52]IOBurst: 5180ms
104.[C53]CPUBurst: 538ms
105.[C53]IOBurst: 17110ms
106.[C54]CPUBurst: 131ms
107.[C54]IOBurst: 19230ms
108.[C55]CPUBurst: 322ms
109.[C55]IOBurst: 5910ms
110.[C56]CPUBurst: 435ms
111.[C56]IOBurst: 600ms
112.[C57]CPUBurst: 370ms
113.[C57]IOBurst: 770ms
114.[C58]CPUBurst: 463ms
115.[C58]IOBurst: 6360ms
116.[C59]CPUBurst: 961ms
117.[C59]IOBurst: 16970ms
118.[C60]CPUBurst: 56ms
119.[C60]IOBurst: 6710ms
120.[C61]CPUBurst: 1426ms
121.[C61]IOBurst: 7850ms
122.[C62]CPUBurst: 17ms
123.[C62]IOBurst: 24480ms
124.[C63]CPUBurst: 1559ms
125.[C63]IOBurst: 3850ms
126.[C64]CPUBurst: 361ms
127.[C64]IOBurst: 6830ms
128.[C65]CPUBurst: 157ms
129.[C65]IOBurst: 9510ms
130.[C66]CPUBurst: 113ms
131.[C66]IOBurst: 2900ms
132.[C67]CPUBurst: 168ms
133.[C67]IOBurst: 350ms
134.[C68]CPUBurst: 1349ms
135.[C68]IOBurst: 3230ms
136.[C69]CPUBurst: 412ms
137.[C69]IOBurst: 9630ms
138.[C70]CPUBurst: 204ms
139.[C70]IOBurst: 6170ms
140.[C71]CPUBurst: 1194ms
141.[C71]IOBurst: 21310ms
142.[C72]CPUBurst: 984ms
143.[C72]IOBurst: 9520ms
144.[C73]CPUBurst: 2262ms
145.[C73]IOBurst: 3400ms
146.[C74]CPUBurst: 532ms
147.[C74]IOBurst: 8530ms
148.[C75]CPUBurst: 229ms
149.[C75]IOBurst: 2690ms
150.[C76]CPUBurst: 1352ms
151.[C76]IOBurst: 1310ms
152.[C77]CPUBurst: 247ms
153.[C77]IOBurst: 1180ms
154.[C78]CPUBurst: 34ms
155.[C78]IOBurst: 3480ms
156.[C79]CPUBurst: 387ms
157.[C79]IOBurst: 7170ms
158.[C80]CPUBurst: 1715ms
159.[C80]IOBurst: 4040ms
160.[C81]CPUBurst: 1172ms
161.[C81]IOBurst: 13830ms
162.[C82]CPUBurst: 1409ms
163.[C82]IOBurst: 1130ms
164.[C83]CPUBurst: 44ms
165.[C83]IOBurst: 8050ms
166.[C84]CPUBurst: 193ms
167.[C84]IOBurst: 2610ms
168.[C85]CPUBurst: 1044ms
169.[C85]IOBurst: 3990ms
170.[C86]CPUBurst: 105ms
171.[C86]IOBurst: 8420ms
172.[C87]CPUBurst: 7ms
173.[C87]IOBurst: 10560ms
174.[C88]CPUBurst: 780ms
175.[C88]IOBurst: 2350ms
176.[C89]CPUBurst: 945ms
177.[C89]IOBurst: 2920ms
178.[C90]CPUBurst: 85ms
179.[C90]IOBurst: 3940ms
180.[C91]CPUBurst: 2554ms
181.[C91]IOBurst: 14080ms
182.[C92]CPUBurst: 445ms
183.[C92]IOBurst: 11020ms
184.[C93]CPUBurst: 4ms
185.[C93]IOBurst: 13020ms
186.[C94]CPUBurst: 216ms
187.[C94]IOBurst: 12610ms
188.[C95]CPUBurst: 811ms

Process D [NEW] (arrival time 388 ms) 57 CPU bursts
0.[D1]CPUBurst: 722ms
1.[D1]IOBurst: 10880ms
2.[D2]CPUBurst: 293ms
3.[D2]IOBurst: 3130ms
4.[D3]CPUBurst: 375ms
5.[D3]IOBurst: 8270ms
6.[D4]CPUBurst: 245ms
7.[D4]IOBurst: 3040ms
8.[D5]CPUBurst: 855ms
9.[D5]IOBurst: 23400ms
10.[D6]CPUBurst: 1730ms
11.[D6]IOBurst: 8540ms
12.[D7]CPUBurst: 601ms
13.[D7]IOBurst: 2360ms
14.[D8]CPUBurst: 2089ms
15.[D8]IOBurst: 2220ms
16.[D9]CPUBurst: 432ms
17.[D9]IOBurst: 10430ms
18.[D10]CPUBurst: 812ms
19.[D10]IOBurst: 3960ms
20.[D11]CPUBurst: 1501ms
21.[D11]IOBurst: 9250ms
22.[D12]CPUBurst: 1717ms
23.[D12]IOBurst: 1820ms
24.[D13]CPUBurst: 1319ms
25.[D13]IOBurst: 3590ms
26.[D14]CPUBurst: 2816ms
27.[D14]IOBurst: 13190ms
28.[D15]CPUBurst: 2717ms
29.[D15]IOBurst: 6120ms
30.[D16]CPUBurst: 508ms
31.[D16]IOBurst: 12450ms
32.[D17]CPUBurst: 205ms
33.[D17]IOBurst: 7080ms
34.[D18]CPUBurst: 1404ms
35.[D18]IOBurst: 11890ms
36.[D19]CPUBurst: 3202ms
37.[D19]IOBurst: 13000ms
38.[D20]CPUBurst: 521ms
39.[D20]IOBurst: 25810ms
40.[D21]CPUBurst: 713ms
41.[D21]IOBurst: 12540ms
42.[D22]CPUBurst: 152ms
43.[D22]IOBurst: 6180ms
44.[D23]CPUBurst: 666ms
45.[D23]IOBurst: 7350ms
46.[D24]CPUBurst: 3886ms
47.[D24]IOBurst: 9830ms
48.[D25]CPUBurst: 1149ms
49.[D25]IOBurst: 1600ms
50.[D26]CPUBurst: 1085ms
51.[D26]IOBurst: 12100ms
52.[D27]CPUBurst: 1095ms
53.[D27]IOBurst: 21920ms
54.[D28]CPUBurst: 24ms
55.[D28]IOBurst: 20100ms
56.[D29]CPUBurst: 751ms
57.[D29]IOBurst: 4440ms
58.[D30]CPUBurst: 824ms
59.[D30]IOBurst: 240ms
60.[D31]CPUBurst: 135ms
61.[D31]IOBurst: 24390ms
62.[D32]CPUBurst: 760ms
63.[D32]IOBurst: 250ms
64.[D33]CPUBurst: 1466ms
65.[D33]IOBurst: 560ms
66.[D34]CPUBurst: 1071ms
67.[D34]IOBurst: 12380ms
68.[D35]CPUBurst: 75ms
69.[D35]IOBurst: 24060ms
70.[D36]CPUBurst: 492ms
71.[D36]IOBurst: 22970ms
72.[D37]CPUBurst: 22ms
73.[D37]IOBurst: 8320ms
74.[D38]CPUBurst: 435ms
75.[D38]IOBurst: 970ms
76.[D39]CPUBurst: 2552ms
77.[D39]IOBurst: 5700ms
78.[D40]CPUBurst: 851ms
79.[D40]IOBurst: 3100ms
80.[D41]CPUBurst: 742ms
81.[D41]IOBurst: 2540ms
82.[D42]CPUBurst: 2764ms
83.[D42]IOBurst: 15450ms
84.[D43]CPUBurst: 4ms
85.[D43]IOBurst: 10570ms
86.[D44]CPUBurst: 1008ms
87.[D44]IOBurst: 1480ms
88.[D45]CPUBurst: 802ms
89.[D45]IOBurst: 7550ms
90.[D46]CPUBurst: 1876ms
91.[D46]IOBurst: 1970ms
92.[D47]CPUBurst: 1007ms
93.[D47]IOBurst: 11970ms
94.[D48]CPUBurst: 2955ms
95.[D48]IOBurst: 16490ms
96.[D49]CPUBurst: 11ms
97.[D49]IOBurst: 14460ms
98.[D50]CPUBurst: 2511ms
99.[D50]IOBurst: 8200ms
100.[D51]CPUBurst: 644ms
101.[D51]IOBurst: 1990ms
102.[D52]CPUBurst: 252ms
103.[D52]IOBurst: 7830ms
104.[D53]CPUBurst: 47ms
105.[D53]IOBurst: 6360ms
106.[D54]CPUBurst: 281ms
107.[D54]IOBurst: 11320ms
108.[D55]CPUBurst: 1768ms
109.[D55]IOBurst: 430ms
110.[D56]CPUBurst: 1494ms
111.[D56]IOBurst: 17900ms
112.[D57]CPUBurst: 561ms

Process E [NEW] (arrival time 1515 ms) 83 CPU bursts
0.[E1]CPUBurst: 391ms
1.[E1]IOBurst: 5610ms
2.[E2]CPUBurst: 1198ms
3.[E2]IOBurst: 31710ms
4.[E3]CPUBurst: 1339ms
5.[E3]IOBurst: 10700ms
6.[E4]CPUBurst: 136ms
7.[E4]IOBurst: 11650ms
8.[E5]CPUBurst: 2127ms
9.[E5]IOBurst: 10580ms
10.[E6]CPUBurst: 351ms
11.[E6]IOBurst: 970ms
12.[E7]CPUBurst: 2531ms
13.[E7]IOBurst: 10510ms
14.[E8]CPUBurst: 2079ms
15.[E8]IOBurst: 10690ms
16.[E9]CPUBurst: 466ms
17.[E9]IOBurst: 13000ms
18.[E10]CPUBurst: 564ms
19.[E10]IOBurst: 16420ms
20.[E11]CPUBurst: 1518ms
21.[E11]IOBurst: 6640ms
22.[E12]CPUBurst: 740ms
23.[E12]IOBurst: 6990ms
24.[E13]CPUBurst: 420ms
25.[E13]IOBurst: 3200ms
26.[E14]CPUBurst: 1497ms
27.[E14]IOBurst: 4910ms
28.[E15]CPUBurst: 985ms
29.[E15]IOBurst: 1100ms
30.[E16]CPUBurst: 1145ms
31.[E16]IOBurst: 9350ms
32.[E17]CPUBurst: 593ms
33.[E17]IOBurst: 5460ms
34.[E18]CPUBurst: 1078ms
35.[E18]IOBurst: 3970ms
36.[E19]CPUBurst: 1045ms
37.[E19]IOBurst: 6400ms
38.[E20]CPUBurst: 910ms
39.[E20]IOBurst: 29470ms
40.[E21]CPUBurst: 2671ms
41.[E21]IOBurst: 290ms
42.[E22]CPUBurst: 734ms
43.[E22]IOBurst: 1410ms
44.[E23]CPUBurst: 215ms
45.[E23]IOBurst: 6110ms
46.[E24]CPUBurst: 1141ms
47.[E24]IOBurst: 19630ms
48.[E25]CPUBurst: 197ms
49.[E25]IOBurst: 37090ms
50.[E26]CPUBurst: 708ms
51.[E26]IOBurst: 12910ms
52.[E27]CPUBurst: 691ms
53.[E27]IOBurst: 7320ms
54.[E28]CPUBurst: 98ms
55.[E28]IOBurst: 13090ms
56.[E29]CPUBurst: 660ms
57.[E29]IOBurst: 23610ms
58.[E30]CPUBurst: 445ms
59.[E30]IOBurst: 18360ms
60.[E31]CPUBurst: 458ms
61.[E31]IOBurst: 15590ms
62.[E32]CPUBurst: 170ms
63.[E32]IOBurst: 2500ms
64.[E33]CPUBurst: 774ms
65.[E33]IOBurst: 21330ms
66.[E34]CPUBurst: 365ms
67.[E34]IOBurst: 9840ms
68.[E35]CPUBurst: 16ms
69.[E35]IOBurst: 2100ms
70.[E36]CPUBurst: 800ms
71.[E36]IOBurst: 6480ms
72.[E37]CPUBurst: 520ms
73.[E37]IOBurst: 15160ms
74.[E38]CPUBurst: 284ms
75.[E38]IOBurst: 2580ms
76.[E39]CPUBurst: 2021ms
77.[E39]IOBurst: 31130ms
78.[E40]CPUBurst: 329ms
79.[E40]IOBurst: 1890ms
80.[E41]CPUBurst: 654ms
81.[E41]IOBurst: 8840ms
82.[E42]CPUBurst: 539ms
83.[E42]IOBurst: 15570ms
84.[E43]CPUBurst: 1801ms
85.[E43]IOBurst: 26200ms
86.[E44]CPUBurst: 343ms
87.[E44]IOBurst: 3110ms
88.[E45]CPUBurst: 141ms
89.[E45]IOBurst: 23210ms
90.[E46]CPUBurst: 616ms
91.[E46]IOBurst: 4410ms
92.[E47]CPUBurst: 1898ms
93.[E47]IOBurst: 290ms
94.[E48]CPUBurst: 2027ms
95.[E48]IOBurst: 1670ms
96.[E49]CPUBurst: 1328ms
97.[E49]IOBurst: 14170ms
98.[E50]CPUBurst: 298ms
99.[E50]IOBurst: 7540ms
100.[E51]CPUBurst: 114ms
101.[E51]IOBurst: 8380ms
102.[E52]CPUBurst: 387ms
103.[E52]IOBurst: 8100ms
104.[E53]CPUBurst: 2392ms
105.[E53]IOBurst: 1770ms
106.[E54]CPUBurst: 608ms
107.[E54]IOBurst: 9930ms
108.[E55]CPUBurst: 307ms
109.[E55]IOBurst: 710ms
110.[E56]CPUBurst: 64ms
111.[E56]IOBurst: 14020ms
112.[E57]CPUBurst: 1477ms
113.[E57]IOBurst: 14260ms
114.[E58]CPUBurst: 1615ms
115.[E58]IOBurst: 5560ms
116.[E59]CPUBurst: 297ms
117.[E59]IOBurst: 1410ms
118.[E60]CPUBurst: 785ms
119.[E60]IOBurst: 25530ms
120.[E61]CPUBurst: 941ms
121.[E61]IOBurst: 13520ms
122.[E62]CPUBurst: 1400ms
123.[E62]IOBurst: 8600ms
124.[E63]CPUBurst: 1774ms
125.[E63]IOBurst: 460ms
126.[E64]CPUBurst: 2271ms
127.[E64]IOBurst: 3050ms
128.[E65]CPUBurst: 2270ms
129.[E65]IOBurst: 40780ms
130.[E66]CPUBurst: 1999ms
131.[E66]IOBurst: 2000ms
132.[E67]CPUBurst: 183ms
133.[E67]IOBurst: 7350ms
134.[E68]CPUBurst: 939ms
135.[E68]IOBurst: 14040ms
136.[E69]CPUBurst: 1536ms
137.[E69]IOBurst: 2010ms
138.[E70]CPUBurst: 1014ms
139.[E70]IOBurst: 1360ms
140.[E71]CPUBurst: 39ms
141.[E71]IOBurst: 11330ms
142.[E72]CPUBurst: 803ms
143.[E72]IOBurst: 3750ms
144.[E73]CPUBurst: 117ms
145.[E73]IOBurst: 4060ms
146.[E74]CPUBurst: 218ms
147.[E74]IOBurst: 1510ms
148.[E75]CPUBurst: 154ms
149.[E75]IOBurst: 4590ms
150.[E76]CPUBurst: 135ms
151.[E76]IOBurst: 26430ms
152.[E77]CPUBurst: 218ms
153.[E77]IOBurst: 11760ms
154.[E78]CPUBurst: 189ms
155.[E78]IOBurst: 8610ms
156.[E79]CPUBurst: 955ms
157.[E79]IOBurst: 750ms
158.[E80]CPUBurst: 616ms
159.[E80]IOBurst: 5830ms
160.[E81]CPUBurst: 293ms
161.[E81]IOBurst: 9580ms
162.[E82]CPUBurst: 64ms
163.[E82]IOBurst: 17280ms
164.[E83]CPUBurst: 170ms

Process F [NEW] (arrival time 1684 ms) 97 CPU bursts
0.[F1]CPUBurst: 18ms
1.[F1]IOBurst: 15600ms
2.[F2]CPUBurst: 1494ms
3.[F2]IOBurst: 1230ms
4.[F3]CPUBurst: 315ms
5.[F3]IOBurst: 4670ms
6.[F4]CPUBurst: 890ms
7.[F4]IOBurst: 3820ms
8.[F5]CPUBurst: 3843ms
9.[F5]IOBurst: 20900ms
10.[F6]CPUBurst: 2701ms
11.[F6]IOBurst: 36110ms
12.[F7]CPUBurst: 259ms
13.[F7]IOBurst: 7640ms
14.[F8]CPUBurst: 588ms
15.[F8]IOBurst: 10730ms
16.[F9]CPUBurst: 1774ms
17.[F9]IOBurst: 370ms
18.[F10]CPUBurst: 902ms
19.[F10]IOBurst: 2900ms
20.[F11]CPUBurst: 806ms
21.[F11]IOBurst: 2290ms
22.[F12]CPUBurst: 21ms
23.[F12]IOBurst: 11240ms
24.[F13]CPUBurst: 1401ms
25.[F13]IOBurst: 10310ms
26.[F14]CPUBurst: 215ms
27.[F14]IOBurst: 1990ms
28.[F15]CPUBurst: 531ms
29.[F15]IOBurst: 7310ms
30.[F16]CPUBurst: 198ms
31.[F16]IOBurst: 36650ms
32.[F17]CPUBurst: 218ms
33.[F17]IOBurst: 20080ms
34.[F18]CPUBurst: 914ms
35.[F18]IOBurst: 15630ms
36.[F19]CPUBurst: 1276ms
37.[F19]IOBurst: 730ms
38.[F20]CPUBurst: 907ms
39.[F20]IOBurst: 4060ms
40.[F21]CPUBurst: 1623ms
41.[F21]IOBurst: 34710ms
42.[F22]CPUBurst: 766ms
43.[F22]IOBurst: 4630ms
44.[F23]CPUBurst: 2644ms
45.[F23]IOBurst: 3320ms
46.[F24]CPUBurst: 79ms
47.[F24]IOBurst: 18980ms
48.[F25]CPUBurst: 23ms
49.[F25]IOBurst: 3840ms
50.[F26]CPUBurst: 1130ms
51.[F26]IOBurst: 8850ms
52.[F27]CPUBurst: 80ms
53.[F27]IOBurst: 12490ms
54.[F28]CPUBurst: 239ms
55.[F28]IOBurst: 480ms
56.[F29]CPUBurst: 7ms
57.[F29]IOBurst: 480ms
58.[F30]CPUBurst: 988ms
59.[F30]IOBurst: 3380ms
60.[F31]CPUBurst: 700ms
61.[F31]IOBurst: 1850ms
62.[F32]CPUBurst: 409ms
63.[F32]IOBurst: 2600ms
64.[F33]CPUBurst: 1355ms
65.[F33]IOBurst: 5130ms
66.[F34]CPUBurst: 196ms
67.[F34]IOBurst: 1950ms
68.[F35]CPUBurst: 1736ms
69.[F35]IOBurst: 14410ms
70.[F36]CPUBurst: 114ms
71.[F36]IOBurst: 8920ms
72.[F37]CPUBurst: 577ms
73.[F37]IOBurst: 15810ms
74.[F38]CPUBurst: 986ms
75.[F38]IOBurst: 10390ms
76.[F39]CPUBurst: 37ms
77.[F39]IOBurst: 7500ms
78.[F40]CPUBurst: 174ms
79.[F40]IOBurst: 5180ms
80.[F41]CPUBurst: 77ms
81.[F41]IOBurst: 20860ms
82.[F42]CPUBurst: 2081ms
83.[F42]IOBurst: 9530ms
84.[F43]CPUBurst: 745ms
85.[F43]IOBurst: 590ms
86.[F44]CPUBurst: 1011ms
87.[F44]IOBurst: 3420ms
88.[F45]CPUBurst: 1577ms
89.[F45]IOBurst: 3000ms
90.[F46]CPUBurst: 70ms
91.[F46]IOBurst: 4800ms
92.[F47]CPUBurst: 755ms
93.[F47]IOBurst: 2980ms
94.[F48]CPUBurst: 3504ms
95.[F48]IOBurst: 14350ms
96.[F49]CPUBurst: 484ms
97.[F49]IOBurst: 850ms
98.[F50]CPUBurst: 120ms
99.[F50]IOBurst: 8840ms
100.[F51]CPUBurst: 931ms
101.[F51]IOBurst: 9570ms
102.[F52]CPUBurst: 832ms
103.[F52]IOBurst: 1230ms
104.[F53]CPUBurst: 288ms
105.[F53]IOBurst: 8010ms
106.[F54]CPUBurst: 522ms
107.[F54]IOBurst: 10370ms
108.[F55]CPUBurst: 2032ms
109.[F55]IOBurst: 11450ms
110.[F56]CPUBurst: 649ms
111.[F56]IOBurst: 820ms
112.[F57]CPUBurst: 376ms
